"","WaterYear","Month","ResID","ResName","ResNameAbbrev","FieldID","FieldName","FieldUnits","MonthlyValue","Year","Date"
"1",1934,4,921,"Lake Mead","Mead",42,"Total Release","cfs",221750,1934,1934-04-01
"2",1934,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.4398347108,1934,1934-04-01
"3",1934,5,921,"Lake Mead","Mead",42,"Total Release","cfs",560000,1934,1934-05-01
"4",1934,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.110743802,1934,1934-05-01
"5",1934,6,921,"Lake Mead","Mead",42,"Total Release","cfs",318280,1934,1934-06-01
"6",1934,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.63129917383,1934,1934-06-01
"7",1934,7,921,"Lake Mead","Mead",42,"Total Release","cfs",86260,1934,1934-07-01
"8",1934,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.17109421489,1934,1934-07-01
"9",1934,8,921,"Lake Mead","Mead",42,"Total Release","cfs",81560,1934,1934-08-01
"10",1934,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.16177190081,1934,1934-08-01
"11",1934,9,921,"Lake Mead","Mead",42,"Total Release","cfs",99350,1934,1934-09-01
"12",1934,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.19705785129,1934,1934-09-01
"13",1935,1,921,"Lake Mead","Mead",42,"Total Release","cfs",151431,1935,1935-01-01
"14",1935,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.30035900837,1935,1935-01-01
"15",1935,2,921,"Lake Mead","Mead",42,"Total Release","cfs",101695,1935,1935-02-01
"16",1935,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.20170909095,1935,1935-02-01
"17",1935,3,921,"Lake Mead","Mead",42,"Total Release","cfs",216470,1935,1935-03-01
"18",1935,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.4293619838,1935,1935-03-01
"19",1935,4,921,"Lake Mead","Mead",42,"Total Release","cfs",217660,1935,1935-04-01
"20",1935,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.4317223141,1935,1935-04-01
"21",1935,5,921,"Lake Mead","Mead",42,"Total Release","cfs",285030,1935,1935-05-01
"22",1935,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5653487602,1935,1935-05-01
"23",1935,6,921,"Lake Mead","Mead",42,"Total Release","cfs",489860,1935,1935-06-01
"24",1935,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.9716231406,1935,1935-06-01
"25",1935,7,921,"Lake Mead","Mead",42,"Total Release","cfs",358590,1935,1935-07-01
"26",1935,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7112528921,1935,1935-07-01
"27",1935,8,921,"Lake Mead","Mead",42,"Total Release","cfs",317750,1935,1935-08-01
"28",1935,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6302479335,1935,1935-08-01
"29",1935,9,921,"Lake Mead","Mead",42,"Total Release","cfs",303730,1935,1935-09-01
"30",1935,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6024396702,1935,1935-09-01
"31",1935,10,921,"Lake Mead","Mead",42,"Total Release","cfs",96370,1934,1934-10-01
"32",1935,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.19114710746,1934,1934-10-01
"33",1935,11,921,"Lake Mead","Mead",42,"Total Release","cfs",105560,1934,1934-11-01
"34",1935,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.20937520661,1934,1934-11-01
"35",1935,12,921,"Lake Mead","Mead",42,"Total Release","cfs",137750,1934,1934-12-01
"36",1935,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.27322314052,1934,1934-12-01
"37",1936,1,921,"Lake Mead","Mead",42,"Total Release","cfs",149025,1936,1936-01-01
"38",1936,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.29558677692,1936,1936-01-01
"39",1936,2,921,"Lake Mead","Mead",42,"Total Release","cfs",159705,1936,1936-02-01
"40",1936,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.3167702477,1936,1936-02-01
"41",1936,3,921,"Lake Mead","Mead",42,"Total Release","cfs",286130,1936,1936-03-01
"42",1936,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5675305781,1936,1936-03-01
"43",1936,4,921,"Lake Mead","Mead",42,"Total Release","cfs",299455,1936,1936-04-01
"44",1936,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.593960331,1936,1936-04-01
"45",1936,5,921,"Lake Mead","Mead",42,"Total Release","cfs",280800,1936,1936-05-01
"46",1936,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.556958678,1936,1936-05-01
"47",1936,6,921,"Lake Mead","Mead",42,"Total Release","cfs",311805,1936,1936-06-01
"48",1936,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6184561989,1936,1936-06-01
"49",1936,7,921,"Lake Mead","Mead",42,"Total Release","cfs",352595,1936,1936-07-01
"50",1936,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6993619837,1936,1936-07-01
"51",1936,8,921,"Lake Mead","Mead",42,"Total Release","cfs",309410,1936,1936-08-01
"52",1936,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6137057851,1936,1936-08-01
