"","Year","variable","value"
"1",2023,"Arizona",710589
"2",2022,"Arizona",753423
"3",2021,"Arizona",684201
"4",2020,"Arizona",598742
"5",2019,"Arizona",473504
"6",2018,"Arizona",343052
"7",2017,"Arizona",126800
"8",2016,"Arizona",103050
"9",2015,"Arizona",103050
"10",2014,"Arizona",103050
"11",2013,"Arizona",103050
"12",2012,"Arizona",103050
"13",2011,"Arizona",103050
"14",2010,"Arizona",102094
"15",2023,"California",1661832
"16",2022,"California",1245693
"17",2021,"California",1357085
"18",2020,"California",1375871
"19",2019,"California",1053210
"20",2018,"California",698432
"21",2017,"California",552378
"22",2016,"California",115066
"23",2015,"California",97791
"24",2014,"California",169085
"25",2013,"California",474063
"26",2012,"California",579786
"27",2011,"California",440678
"28",2010,"California",261990
"29",2023,"Nevada",955543
"30",2022,"Nevada",1038765
"31",2021,"Nevada",949658
"32",2020,"Nevada",865741
"33",2019,"Nevada",785913
"34",2018,"Nevada",700448
"35",2017,"Nevada",582313
"36",2016,"Nevada",531562
"37",2015,"Nevada",511023
"38",2014,"Nevada",564765
"39",2013,"Nevada",541051
"40",2012,"Nevada",512804
"41",2011,"Nevada",482672
"42",2010,"Nevada",451257
