"","Arizona","California","Nevada","Mexico","Total","Year"
"1",-42834,416139,-83222,-34000,290083,2023
"2",69222,-111392,89107,30000,46937,2022
"3",85459,-18786,83917,41000,150590,2021
"4",125238,322661,79828,41000,527727,2020
"5",130452,354778,85465,NA,570695,2019
"6",216252,146054,118135,NA,480441,2018
"7",23750,437312,50751,NA,511813,2017
"8",0,17275,20539,NA,37814,2016
"9",0,-71294,-53742,NA,-125036,2015
"10",0,-304978,23714,NA,-281264,2014
"11",0,-105723,28247,NA,-77476,2013
"12",0,139108,30132,NA,169240,2012
