"","Year","variable","value"
"1",2023,"Arizona",-42834
"2",2022,"Arizona",69222
"3",2021,"Arizona",85459
"4",2020,"Arizona",125238
"5",2019,"Arizona",130452
"6",2018,"Arizona",216252
"7",2017,"Arizona",23750
"8",2016,"Arizona",0
"9",2015,"Arizona",0
"10",2014,"Arizona",0
"11",2013,"Arizona",0
"12",2012,"Arizona",0
"13",2023,"California",416139
"14",2022,"California",-111392
"15",2021,"California",-18786
"16",2020,"California",322661
"17",2019,"California",354778
"18",2018,"California",146054
"19",2017,"California",437312
"20",2016,"California",17275
"21",2015,"California",-71294
"22",2014,"California",-304978
"23",2013,"California",-105723
"24",2012,"California",139108
"25",2023,"Nevada",-83222
"26",2022,"Nevada",89107
"27",2021,"Nevada",83917
"28",2020,"Nevada",79828
"29",2019,"Nevada",85465
"30",2018,"Nevada",118135
"31",2017,"Nevada",50751
"32",2016,"Nevada",20539
"33",2015,"Nevada",-53742
"34",2014,"Nevada",23714
"35",2013,"Nevada",28247
"36",2012,"Nevada",30132
