"","Year","variable","value"
"1",2023,"Arizona",710589
"2",2022,"Arizona",753423
"3",2021,"Arizona",684201
"4",2020,"Arizona",598742
"5",2019,"Arizona",473504
"6",2018,"Arizona",343052
"7",2017,"Arizona",126800
"8",2016,"Arizona",103050
"9",2015,"Arizona",103050
"10",2014,"Arizona",103050
"11",2013,"Arizona",103050
"12",2012,"Arizona",103050
"13",2011,"Arizona",103050
"14",2010,"Arizona",102094
"15",2009,"Arizona",1e+05
"16",2008,"Arizona",1e+05
"17",2007,"Arizona",0
"18",2023,"California",1661832
"19",2022,"California",1245693
"20",2021,"California",1357085
"21",2020,"California",1375871
"22",2019,"California",1053210
"23",2018,"California",698432
"24",2017,"California",552378
"25",2016,"California",115066
"26",2015,"California",97791
"27",2014,"California",169085
"28",2013,"California",474063
"29",2012,"California",579786
"30",2011,"California",440678
"31",2010,"California",261990
"32",2009,"California",157190
"33",2008,"California",93573
"34",2007,"California",41398
"35",2023,"Nevada",955543
"36",2022,"Nevada",1038765
"37",2021,"Nevada",949658
"38",2020,"Nevada",865741
"39",2019,"Nevada",785913
"40",2018,"Nevada",700448
"41",2017,"Nevada",582313
"42",2016,"Nevada",531562
"43",2015,"Nevada",511023
"44",2014,"Nevada",564765
"45",2013,"Nevada",541051
"46",2012,"Nevada",512804
"47",2011,"Nevada",482672
"48",2010,"Nevada",451257
"49",2009,"Nevada",4e+05
"50",2008,"Nevada",4e+05
"51",2007,"Nevada",0
