"","Arizona","California","Nevada","Mexico","Total","Year"
"1",69222,-111392,89107,30000,46937,2022
"2",85459,-18786,83917,41000,150590,2021
"3",125238,322661,79828,41000,527727,2020
"4",130452,354778,85465,NA,570695,2019
"5",216252,146054,118135,NA,480441,2018
"6",23750,437312,50751,NA,511813,2017
"7",0,17275,20539,NA,37814,2016
"8",0,-71294,-53742,NA,-125036,2015
"9",0,-304978,23714,NA,-281264,2014
"10",0,-105723,28247,NA,-77476,2013
"11",0,139108,30132,NA,169240,2012
"12",956,178688,31415,NA,211059,2011
