"","Year","variable","value"
"1",2022,"Arizona",69222
"2",2021,"Arizona",85459
"3",2020,"Arizona",125238
"4",2019,"Arizona",130452
"5",2018,"Arizona",216252
"6",2017,"Arizona",23750
"7",2016,"Arizona",0
"8",2015,"Arizona",0
"9",2014,"Arizona",0
"10",2013,"Arizona",0
"11",2012,"Arizona",0
"12",2011,"Arizona",956
"13",2022,"California",-111392
"14",2021,"California",-18786
"15",2020,"California",322661
"16",2019,"California",354778
"17",2018,"California",146054
"18",2017,"California",437312
"19",2016,"California",17275
"20",2015,"California",-71294
"21",2014,"California",-304978
"22",2013,"California",-105723
"23",2012,"California",139108
"24",2011,"California",178688
"25",2022,"Nevada",89107
"26",2021,"Nevada",83917
"27",2020,"Nevada",79828
"28",2019,"Nevada",85465
"29",2018,"Nevada",118135
"30",2017,"Nevada",50751
"31",2016,"Nevada",20539
"32",2015,"Nevada",-53742
"33",2014,"Nevada",23714
"34",2013,"Nevada",28247
"35",2012,"Nevada",30132
"36",2011,"Nevada",31415
