"","PowellStorage","PowellRelease","MeadStorage","decade","Year","month","MonthIndex","LowerBasinConserve","MexicoConserve","DateAsValue","Protect","LowerBasin","Mexico","AvailableWater","Capacity"
"1",6.9194,9265,15.5980056182,1960,1969,0,0,0,0,1969-01-01,5.664593,0,0,9.93341261820001,10.3019943818
"2",7.0992,8297,15.684810368736,1960,1969,0,0,0,0,1969-02-01,5.664593,0,0,10.020217368736,10.215189631264
"3",7.1527,11521,15.707386723496,1960,1969,0,0,0,0,1969-03-01,5.664593,0,0,10.042793723496,10.192613276504
"4",7.7868,14630,15.564875442484,1960,1969,0,0,0,0,1969-04-01,5.664593,0,0,9.90028244248399,10.335124557516
"5",9.2412,12412,15.720293144552,1960,1969,0,0,0,0,1969-05-01,5.664593,0,0,10.055700144552,10.179706855448
"6",9.9484,14710,15.770912195716,1960,1969,0,0,0,0,1969-06-01,5.664593,0,0,10.106319195716,10.129087804284
"7",9.999,15542,15.828119787706,1960,1969,0,0,0,0,1969-07-01,5.664593,0,0,10.163526787706,10.071880212294
"8",9.6087,15120,15.994061688784,1960,1969,0,0,0,0,1969-08-01,5.664593,0,0,10.329468688784,9.905938311216
"9",9.3911,13342,16.21165109021,1960,1969,0,0,0,0,1969-09-01,5.664593,0,0,10.54705809021,9.68834890979
"10",9.5218,10244,16.382562277288,1960,1969,0,0,0,0,1969-10-01,5.664593,0,0,10.717969277288,9.51743772271201
"11",9.4645,11871,16.422450514152,1960,1969,0,0,0,0,1969-11-01,5.664593,0,0,10.757857514152,9.47754948584799
"12",9.2915,13247,16.700173196352,1960,1969,0,0,0,0,1969-12-01,5.664593,0,0,11.035580196352,9.19982680364799
"13",9.069,11488,17.0153947454,1970,1970,0,0,0,0,1970-01-01,5.664593,0,0,11.3508017454,8.8846052546
"14",9.1303,8013,17.1466428787,1970,1970,0,0,0,0,1970-02-01,5.664593,0,0,11.4820498787,8.75335712129999
"15",9.2227,7907,17.10891158344,1970,1970,0,0,0,0,1970-03-01,5.664593,0,0,11.44431858344,8.79108841656
"16",8.8516,15834,16.852114776312,1970,1970,0,0,0,0,1970-04-01,5.664593,0,0,11.187521776312,9.04788522368801
"17",10.1356,14630,16.82278086938,1970,1970,0,0,0,0,1970-05-01,5.664593,0,0,11.15818786938,9.07721913062
"18",11.6797,13445,16.830673726912,1970,1970,0,0,0,0,1970-06-01,5.664593,0,0,11.166080726912,9.06932627308801
"19",11.8466,12500,16.814888011848,1970,1970,0,0,0,0,1970-07-01,5.664593,0,0,11.150295011848,9.085111988152
"20",11.5632,12570,16.792336990328,1970,1970,0,0,0,0,1970-08-01,5.664593,0,0,11.127743990328,9.107663009672
"21",11.6549,11781,16.882637760666,1970,1970,0,0,0,0,1970-09-01,5.664593,0,0,11.218044760666,9.01736223933401
"22",11.7471,8102,17.024508932248,1970,1970,0,0,0,0,1970-10-01,5.664593,0,0,11.359915932248,8.87549106775201
"23",11.8473,7544,16.93246956146,1970,1970,0,0,0,0,1970-11-01,5.664593,0,0,11.26787656146,8.96753043854
"24",11.7412,10905,16.9302018855,1970,1970,0,0,0,0,1970-12-01,5.664593,0,0,11.2656088855,8.9697981145
"25",11.8377,7994,17.06666204642,1970,1971,0,0,0,0,1971-01-01,5.664593,0,0,11.40206904642,8.83333795358
"26",12.0177,7493,17.057547859572,1970,1971,0,0,0,0,1971-02-01,5.664593,0,0,11.392954859572,8.84245214042801
"27",12.037,10415,16.77770450726,1970,1971,0,0,0,0,1971-03-01,5.664593,0,0,11.11311150726,9.12229549273999
"28",12.1107,16985,16.54139406851,1970,1971,0,0,0,0,1971-04-01,5.664593,0,0,10.87680106851,9.35860593149
"29",12.6147,15055,16.579314065126,1970,1971,0,0,0,0,1971-05-01,5.664593,0,0,10.914721065126,9.32068593487399
"30",13.8589,15030,16.627352622644,1970,1971,0,0,0,0,1971-06-01,5.664593,0,0,10.962759622644,9.27264737735601
"31",13.8599,15330,16.71587829572,1970,1971,0,0,0,0,1971-07-01,5.664593,0,0,11.05128529572,9.18412170428001
"32",13.4919,14251,16.870202470744,1970,1971,0,0,0,0,1971-08-01,5.664593,0,0,11.205609470744,9.029797529256
"33",13.1745,13039,17.05526931286,1970,1971,0,0,0,0,1971-09-01,5.664593,0,0,11.39067631286,8.84473068714001
