"","Year","variable","value"
"1",2007,"Arizona",0
"2",2008,"Arizona",1e+05
"3",2009,"Arizona",0
"4",2010,"Arizona",2094
"5",2011,"Arizona",956
"6",2012,"Arizona",0
"7",2013,"Arizona",0
"8",2014,"Arizona",0
"9",2015,"Arizona",0
"10",2016,"Arizona",0
"11",2017,"Arizona",23750
"12",2018,"Arizona",216252
"13",2019,"Arizona",130452
"14",2020,"Arizona",125238
"15",2021,"Arizona",85459
"16",2022,"Arizona",69222
"17",2023,"Arizona",-42834
"18",2024,"Arizona",0
"19",2007,"California",41398
"20",2008,"California",52175
"21",2009,"California",63617
"22",2010,"California",104800
"23",2011,"California",178688
"24",2012,"California",139108
"25",2013,"California",-105723
"26",2014,"California",-304978
"27",2015,"California",-71294
"28",2016,"California",17275
"29",2017,"California",437312
"30",2018,"California",146054
"31",2019,"California",354778
"32",2020,"California",322661
"33",2021,"California",-18786
"34",2022,"California",-111392
"35",2023,"California",416139
"36",2024,"California",0
"37",2007,"Nevada",0
"38",2008,"Nevada",4e+05
"39",2009,"Nevada",0
"40",2010,"Nevada",51257
"41",2011,"Nevada",31415
"42",2012,"Nevada",30132
"43",2013,"Nevada",28247
"44",2014,"Nevada",23714
"45",2015,"Nevada",-53742
"46",2016,"Nevada",20539
"47",2017,"Nevada",50751
"48",2018,"Nevada",118135
"49",2019,"Nevada",85465
"50",2020,"Nevada",79828
"51",2021,"Nevada",83917
"52",2022,"Nevada",89107
"53",2023,"Nevada",-83222
"54",2024,"Nevada",-1530
