"","Elevation (ft)","Live Storage (ac-ft)","Total Storage (ac-ft)","Area (acres)","EvapVolMax","EvapVolMaxUp","EvapVolMaxLo","EvapVolMin","RangeError","Range"
"1",3370,0,1895000,20303,116336.19,131969.5,99484.7,NA,0.326530612244898,0.0162424
"2",3370.5,10173.99,1905173.99,20392.95,116851.6035,132554.175,99925.455,NA,0.326530612244898,0.01631436
"3",3371,20392.95,1915392.95,20482.9,117367.017,133138.85,100366.21,NA,0.326530612244898,0.01638632
"4",3371.5,30656.89,1925656.89,20572.85,117882.4305,133723.525,100806.965,NA,0.326530612244898,0.01645828
"5",3372,40965.8,1935965.8,20662.8,118397.844,134308.2,101247.72,NA,0.326530612244898,0.01653024
"6",3372.5,51319.69,1946319.69,20752.75,118913.2575,134892.875,101688.475,NA,0.326530612244898,0.0166022
"7",3373,61718.55,1956718.55,20842.7,119428.671,135477.55,102129.23,NA,0.326530612244898,0.01667416
"8",3373.5,72162.39,1967162.39,20932.65,119944.0845,136062.225,102569.985,NA,0.326530612244898,0.01674612
"9",3374,82651.2000004,1977651.2000004,21022.6,120459.498,136646.9,103010.74,NA,0.326530612244898,0.01681808
"10",3374.5,93184.99,1988184.99,21112.55,120974.9115,137231.575,103451.495,NA,0.326530612244898,0.01689004
"11",3375,103763.75,1998763.75,21202.5,121490.325,137816.25,103892.25,NA,0.326530612244898,0.016962
"12",3375.5,114387.49,2009387.49,21292.45,122005.7385,138400.925,104333.005,NA,0.326530612244898,0.01703396
"13",3376,125056.2,2020056.2,21382.4,122521.152,138985.6,104773.76,119562.2454,0.326530612244898,0.01710592
"14",3376.5,135769.89,2030769.89,21472.35,123036.5655,139570.275,105214.515,120077.6616,0.326530612244898,0.01717788
"15",3377,146528.55,2041528.55,21562.3,123551.979,140154.95,105655.27,120593.0724,0.326530612244898,0.01724984
"16",3377.5,157332.19,2052332.19,21652.25,124067.3925,140739.625,106096.025,121108.4886,0.326530612244898,0.0173218
"17",3378,168180.8,2063180.8,21742.2,124582.806,141324.3,106536.78,121623.8994,0.326530612244898,0.01739376
"18",3378.5,179074.39,2074074.39,21832.15,125098.2195,141908.975,106977.535,122139.3156,0.326530612244898,0.01746572
"19",3379,190012.95,2085012.95,21922.1,125613.633,142493.65,107418.29,122654.7264,0.326530612244898,0.01753768
"20",3379.5,200996.49,2095996.49,22012.05,126129.0465,143078.325,107859.045,123170.142599784,0.326530612244898,0.01760964
"21",3380,212025,2107025,22102,126644.46,143663,108299.8,123685.553399816,0.326530612244898,0.0176816
"22",3380.5,223100.75,2118100.75,22201,127211.73,144306.5,108784.9,124203.2296,0.326530612244898,0.0177608
"23",3381,234226,2129226,22300,127779,144950,109270,124725.4304,0.326530612244898,0.01784
"24",3381.5,245400.75,2140400.75,22399,128346.27,145593.5,109755.1,125252.1566,0.326530612244898,0.0179192
"25",3382,256625,2151625,22498,128913.54,146237,110240.2,125783.4074,0.326530612244898,0.0179984
"26",3382.5,267898.75,2162898.75,22597,129480.81,146880.5,110725.3,126319.1836,0.326530612244898,0.0180776
"27",3383,279222,2174222,22696,130048.08,147524,111210.4,126859.4844,0.326530612244898,0.0181568
"28",3383.5,290594.75,2185594.75,22795,130615.35,148167.5,111695.5,127404.3106,0.326530612244898,0.018236
"29",3384,302017,2197017,22894,131182.62,148811,112180.6,127953.6614,0.326530612244898,0.0183152
"30",3384.5,313488.75,2208488.75,22993,131749.89,149454.5,112665.7,128507.5376,0.326530612244898,0.0183944
"31",3385,325010,2220010,23092,132317.16,150098,113150.8,129065.9384,0.326530612244898,0.0184736
"32",3385.5,336580.75,2231580.75,23191,132884.43,150741.5,113635.9,129628.8646,0.326530612244898,0.0185528
"33",3386,348201,2243201,23290,133451.7,151385,114121,130195.095,0.326530612244898,0.018632
"34",3386.5,359870.75,2254870.75,23389,134018.97,152028.5,114606.1,130762.365,0.326530612244898,0.0187112
"35",3387,371590,2266590,23488,134586.24,152672,115091.2,131329.635,0.326530612244898,0.0187904
"36",3387.5,383358.75,2278358.75,23587,135153.51,153315.5,115576.3,131896.905,0.326530612244898,0.0188696
"37",3388,395177,2290177,23686,135720.78,153959,116061.4,132464.175,0.326530612244898,0.0189488
"38",3388.5,407044.75,2302044.75,23785,136288.05,154602.5,116546.5,133031.445,0.326530612244898,0.019028
"39",3389,418962,2313962,23884,136855.32,155246,117031.6,133598.715,0.326530612244898,0.0191072
"40",3389.5,430928.75,2325928.75,23983,137422.59,155889.5,117516.7,134165.985,0.326530612244898,0.0191864
"41",3390,442945,2337945,24082,137989.86,156533,118001.8,134733.255,0.326530612244898,0.0192656
"42",3390.5,455010.75,2350010.75,24181,138557.13,157176.5,118486.9,135300.525,0.326530612244898,0.0193448
"43",3391,467126,2362126,24280,139124.4,157820,118972,135867.795,0.326530612244898,0.019424
"44",3391.5,479290.75,2374290.75,24379,139691.67,158463.5,119457.1,136435.065,0.326530612244898,0.0195032
"45",3392,491505,2386505,24478,140258.94,159107,119942.2,137002.335,0.326530612244898,0.0195824
"46",3392.5,503768.75,2398768.75,24577,140826.21,159750.5,120427.3,137569.605,0.326530612244898,0.0196616
"47",3393,516082,2411082,24676,141393.48,160394,120912.4,138136.875,0.326530612244898,0.0197408
"48",3393.5,528444.75,2423444.75,24775,141960.75,161037.5,121397.5,138704.145,0.326530612244898,0.01982
"49",3394,540857,2435857,24874.0000001,142528.020000573,161681.00000065,121882.60000049,139271.415,0.326530612244898,0.01989920000008
"50",3394.5,553318.75,2448318.75,24973.0000001,143095.290000573,162324.50000065,122367.70000049,139838.685,0.326530612244898,0.01997840000008
"51",3395,565830,2460830,25071.9999999,143662.559999427,162967.99999935,122852.79999951,140405.955,0.326530612244898,0.02005759999992
"52",3395.5,578390.75,2473390.75,25170.9999999,144229.829999427,163611.49999935,123337.89999951,140973.225,0.326530612244898,0.02013679999992
"53",3396,591001,2486001,25270,144797.1,164255,123823,141540.495,0.326530612244898,0.020216
"54",3396.5,603660.75,2498660.75,25369,145364.37,164898.5,124308.1,142107.765,0.326530612244898,0.0202952
"55",3397,616370,2511370,25468.0000001,145931.640000573,165542.00000065,124793.20000049,142675.035,0.326530612244898,0.02037440000008
"56",3397.5,629128.75,2524128.75,25567.0000001,146498.910000573,166185.50000065,125278.30000049,143242.305,0.326530612244898,0.02045360000008
"57",3398,641937,2536937,25665.9999999,147066.179999427,166828.99999935,125763.39999951,143809.575,0.326530612244898,0.02053279999992
"58",3398.5,654794.75,2549794.75,25765,147633.45,167472.5,126248.5,144376.845,0.326530612244898,0.020612
"59",3399,667702,2562702,25864,148200.72,168116,126733.6,144944.115,0.326530612244898,0.0206912
"60",3399.5,680658.75,2575658.75,25963.0000001,148767.990000573,168759.50000065,127218.70000049,145511.385,0.326530612244898,0.02077040000008
