"","Year","variable","value"
"1",2007,"Arizona",0
"2",2008,"Arizona",1e+05
"3",2009,"Arizona",1e+05
"4",2010,"Arizona",102094
"5",2011,"Arizona",103050
"6",2012,"Arizona",103050
"7",2013,"Arizona",103050
"8",2014,"Arizona",103050
"9",2015,"Arizona",103050
"10",2016,"Arizona",103050
"11",2017,"Arizona",126800
"12",2018,"Arizona",343052
"13",2019,"Arizona",473504
"14",2020,"Arizona",598742
"15",2021,"Arizona",684201
"16",2022,"Arizona",753423
"17",2023,"Arizona",710589
"18",2024,"Arizona",710589
"19",2007,"California",41398
"20",2008,"California",93573
"21",2009,"California",157190
"22",2010,"California",261990
"23",2011,"California",440678
"24",2012,"California",579786
"25",2013,"California",474063
"26",2014,"California",169085
"27",2015,"California",97791
"28",2016,"California",115066
"29",2017,"California",552378
"30",2018,"California",698432
"31",2019,"California",1053210
"32",2020,"California",1375871
"33",2021,"California",1357085
"34",2022,"California",1245693
"35",2023,"California",1661832
"36",2024,"California",1661832
"37",2007,"Nevada",0
"38",2008,"Nevada",4e+05
"39",2009,"Nevada",4e+05
"40",2010,"Nevada",451257
"41",2011,"Nevada",482672
"42",2012,"Nevada",512804
"43",2013,"Nevada",541051
"44",2014,"Nevada",564765
"45",2015,"Nevada",511023
"46",2016,"Nevada",531562
"47",2017,"Nevada",582313
"48",2018,"Nevada",700448
"49",2019,"Nevada",785913
"50",2020,"Nevada",865741
"51",2021,"Nevada",949658
"52",2022,"Nevada",1038765
"53",2023,"Nevada",955543
"54",2024,"Nevada",954013
"55",2007,"Mexico",0
"56",2008,"Mexico",0
"57",2009,"Mexico",0
"58",2010,"Mexico",0
"59",2011,"Mexico",0
"60",2012,"Mexico",0
"61",2013,"Mexico",0
"62",2014,"Mexico",0
"63",2015,"Mexico",0
"64",2016,"Mexico",0
"65",2017,"Mexico",0
"66",2018,"Mexico",0
"67",2019,"Mexico",132975
"68",2020,"Mexico",173975
"69",2021,"Mexico",214975
"70",2022,"Mexico",244975
"71",2023,"Mexico",210975
"72",2024,"Mexico",240975
