# HDB Data Service (usbr.gov) - https://www.usbr.gov/lc/region/g4000/riverops/_HdbWebQuery.html
#
# API query - https://www.usbr.gov/pn-bin/hdb/hdb.pl?svr=lchdb&sdi=1776%2C2091%2C1721%2C1874&tstp=DY&t1=1990-01-01T00:00&t2=2023-08-28T00:00&table=R&mrid=0&format=csv
#
# Evaporation (SDID=1776), Inflow (SDID=2091), Storage (SDID=1721), and Release (SDID=1874)

DATETIME,     SDI_1776,     SDI_2091,     SDI_1721,     SDI_1874
01/01/1990 00:00,          NaN,          NaN,     21475000,         9480
01/02/1990 00:00,          NaN,          NaN,     21475000,        10900
01/03/1990 00:00,          NaN,          NaN,     21469000,         9930
01/04/1990 00:00,          NaN,          NaN,     21471000,         8960
01/05/1990 00:00,          NaN,          NaN,     21485000,         6120
01/06/1990 00:00,          NaN,          NaN,     21507000,         5420
01/07/1990 00:00,          NaN,          NaN,     21518000,         4760
01/08/1990 00:00,          NaN,          NaN,     21533000,         7480
01/09/1990 00:00,          NaN,          NaN,     21543000,         6910
01/10/1990 00:00,          NaN,          NaN,     21550000,         5850
01/11/1990 00:00,          NaN,          NaN,     21563000,         7840
01/12/1990 00:00,          NaN,          NaN,     21571000,         7780
01/13/1990 00:00,          NaN,          NaN,     21582000,         4400
01/14/1990 00:00,          NaN,          NaN,     21593000,         6080
01/15/1990 00:00,          NaN,          NaN,     21609000,         6610
01/16/1990 00:00,          NaN,          NaN,     21607000,         9780
01/17/1990 00:00,          NaN,          NaN,     21607000,         9760
01/18/1990 00:00,          NaN,          NaN,     21618000,         9820
01/19/1990 00:00,          NaN,          NaN,     21625000,         9940
01/20/1990 00:00,          NaN,          NaN,     21641000,         7680
01/21/1990 00:00,          NaN,          NaN,     21653000,         8580
01/22/1990 00:00,          NaN,          NaN,     21660000,        11500
01/23/1990 00:00,          NaN,          NaN,     21663000,         8750
01/24/1990 00:00,          NaN,          NaN,     21660000,        10300
01/25/1990 00:00,          NaN,          NaN,     21663000,        11100
01/26/1990 00:00,          NaN,          NaN,     21663000,        11800
01/27/1990 00:00,          NaN,          NaN,     21663000,         7780
01/28/1990 00:00,          NaN,          NaN,     21667000,         9620
