"","DATETIME","SDI_1776","SDI_2091","SDI_1721","SDI_1874"
"1","01/01/1990 00:00",50054,93000,21636000,8842.9032258
"2","02/01/1990 00:00",46081,54000,21741000,8424.6428571
"3","03/01/1990 00:00",51500,20000,21436000,15414.516129
"4","04/01/1990 00:00",63310,23000,21068000,15476.6666667
"5","05/01/1990 00:00",71967,7000,20666000,15497.4193548
"6","06/01/1990 00:00",85901,40000,20415000,16233.3333333
"7","07/01/1990 00:00",106228,46000,20074000,17393.5483871
"8","08/01/1990 00:00",111964,66000,19986000,16580.6451613
"9","09/01/1990 00:00",92332,151000,20144000,10425.3333333
"10","10/01/1990 00:00",67285,21000,19996000,8966.4516129
"11","11/01/1990 00:00",67027,39000,19949000,8253.6666667
"12","12/01/1990 00:00",57676,61000,19864000,10619.0322581
"13","01/01/1991 00:00",47294,42000,20061000,8040
"14","02/01/1991 00:00",43597,97000,20149000,9775.3571429
"15","03/01/1991 00:00",48871,104000,20050000,12557.0967742
"16","04/01/1991 00:00",60405,36000,19852000,13175.6666667
"17","05/01/1991 00:00",68988,51000,19607000,16100
"18","06/01/1991 00:00",82632,125000,19446000,16266.6666667
"19","07/01/1991 00:00",102586,45000,19269000,16448.3870968
"20","08/01/1991 00:00",108502,119000,19221000,15000
"21","09/01/1991 00:00",89289,104000,19233000,13137.6666667
"22","10/01/1991 00:00",64853,32000,19070000,10958.7096774
"23","11/01/1991 00:00",64652,33000,19081000,8974
"24","12/01/1991 00:00",56027,67000,19288000,7808.0645161
"25","01/01/1992 00:00",46494,80000,19780000,4900.3225806
"26","02/01/1992 00:00",43285,96000,20065000,7386.5517241
"27","03/01/1992 00:00",48914,124000,20182000,9963.5483871
"28","04/01/1992 00:00",60869,79000,20112000,12122
"29","05/01/1992 00:00",69594,62000,19788000,15135.1612903
"30","06/01/1992 00:00",83017,40000,19497000,14738
"31","07/01/1992 00:00",102861,-13000,19349000,15630.3225806
"32","08/01/1992 00:00",108870,2000,19307000,14612.9032258
"33","09/01/1992 00:00",89779,13000,19416000,9972
"34","10/01/1992 00:00",65596,37000,19447000,8328.3870968
"35","11/01/1992 00:00",65768,20000,19546000,7677.6666667
"36","12/01/1992 00:00",57064,70000,19729000,8737.7419355
"37","01/01/1993 00:00",47664,205000,20627000,4625.8064516
"38","02/01/1993 00:00",45104,247000,21515000,1106.4285714
"39","03/01/1993 00:00",51734,155000,21981000,5474.1935484
"40","04/01/1993 00:00",64764,130000,21922000,13148.3333333
"41","05/01/1993 00:00",74101,105000,21521000,17250.9677419
"42","06/01/1993 00:00",88519,-21000,21258000,13838
"43","07/01/1993 00:00",109844,38000,21111000,15114.9237809
"44","08/01/1993 00:00",116749,90000,21277000,11583.5643901
"45","09/01/1993 00:00",96595,88000,21379000,8678.4975993
"46","10/01/1993 00:00",70316,50000,21228000,10786.8625725
"47","11/01/1993 00:00",70198,102000,21283000,8939.6521159
"48","12/01/1993 00:00",60665,63000,21324000,12002.4306641
"49","01/01/1994 00:00",49829,84000,21510000,9960.3015215
"50","02/01/1994 00:00",45911,114000,21632000,10466.6189837
"51","03/01/1994 00:00",51283,48000,21291000,16311.6030116
"52","04/01/1994 00:00",62858,38000,20803000,18513.4823893
"53","05/01/1994 00:00",71239,37000,20359000,16873.7242314
"54","06/01/1994 00:00",84881,14000,20065000,14003.9321615
"55","07/01/1994 00:00",105400,41000,20005000,13519.1097215
"56","08/01/1994 00:00",111646,95000,19909000,14585.1012475
"57","09/01/1994 00:00",91808,56000,19930400.3906,9698.0757161
"58","10/01/1994 00:00",66812,63000,19852000,9064.5865675
"59","11/01/1994 00:00",66342,3000,19577000,12275.8940592
"60","12/01/1994 00:00",57050,74000,19689000,9630.6138325
"61","01/01/1995 00:00",47248,167334.6521,20190208.9844,5606.7767846
"62","02/01/1995 00:00",43971,91560,20484714.8438,8195.6655971
"63","03/01/1995 00:00",49526,168000,20443183.5938,14629.9876197
"64","04/01/1995 00:00",61142,73000,20098767.5781,16731.1653646
"65","05/01/1995 00:00",69759,175000,19921000,14204.6226216
"66","06/01/1995 00:00",84095,57420,20012964.8438,14514.9750814
"67","07/01/1995 00:00",105766,53160,20240750,13149.2662078
