"","Arizona","California","Nevada","Mexico","Total","Year"
"1",0,41398,0,0,41398,2007
"2",1e+05,52175,4e+05,0,552175,2008
"3",0,63617,0,0,63617,2009
"4",2094,104800,51257,0,158151,2010
"5",956,178688,31415,0,211059,2011
"6",0,139108,30132,0,169240,2012
"7",0,-105723,28247,0,-77476,2013
"8",0,-304978,23714,0,-281264,2014
"9",0,-71294,-53742,0,-125036,2015
"10",0,17275,20539,0,37814,2016
"11",23750,437312,50751,0,511813,2017
"12",216252,146054,118135,0,480441,2018
"13",130452,354778,85465,132975,570695,2019
"14",125238,322661,79828,41000,527727,2020
"15",85459,-18786,83917,41000,150590,2021
"16",69222,-111392,89107,30000,46937,2022
"17",-42834,416139,-83222,-34000,290083,2023
"18",0,0,-1530,30000,-1530,2024
