"","Year","variable","value"
"1",2007,"Arizona",0
"2",2008,"Arizona",1e+05
"3",2009,"Arizona",0
"4",2010,"Arizona",2094
"5",2011,"Arizona",956
"6",2012,"Arizona",0
"7",2013,"Arizona",0
"8",2014,"Arizona",0
"9",2015,"Arizona",0
"10",2016,"Arizona",0
"11",2017,"Arizona",23750
"12",2018,"Arizona",216252
"13",2019,"Arizona",130452
"14",2020,"Arizona",125238
"15",2021,"Arizona",85459
"16",2022,"Arizona",69222
"17",2023,"Arizona",-42834
"18",2007,"California",41398
"19",2008,"California",52175
"20",2009,"California",63617
"21",2010,"California",104800
"22",2011,"California",178688
"23",2012,"California",139108
"24",2013,"California",-105723
"25",2014,"California",-304978
"26",2015,"California",-71294
"27",2016,"California",17275
"28",2017,"California",437312
"29",2018,"California",146054
"30",2019,"California",354778
"31",2020,"California",322661
"32",2021,"California",-18786
"33",2022,"California",-111392
"34",2023,"California",416139
"35",2007,"Nevada",0
"36",2008,"Nevada",4e+05
"37",2009,"Nevada",0
"38",2010,"Nevada",51257
"39",2011,"Nevada",31415
"40",2012,"Nevada",30132
"41",2013,"Nevada",28247
"42",2014,"Nevada",23714
"43",2015,"Nevada",-53742
"44",2016,"Nevada",20539
"45",2017,"Nevada",50751
"46",2018,"Nevada",118135
"47",2019,"Nevada",85465
"48",2020,"Nevada",79828
"49",2021,"Nevada",83917
"50",2022,"Nevada",89107
"51",2023,"Nevada",-83222
