"","Decade","TenYearReleaseRnd","TenYearDiffRnd","NineYearRelease"
"1","2016 to 2025",NA,NA,NA
"2","2015 to 2024",NA,NA,NA
"3","2014 to 2023",NA,NA,NA
"4","2013 to 2022",NA,NA,NA
"5","2012 to 2021",NA,NA,NA
"6","2011 to 2020",NA,NA,NA
"7","2010 to 2019",NA,NA,NA
"8","2009 to 2018",NA,NA,NA
"9","2008 to 2017",NA,NA,NA
"10","2007 to 2016",NA,NA,NA
"11","2006 to 2015",NA,NA,NA
"12","2005 to 2014",NA,NA,NA
"13","2004 to 2013",NA,NA,NA
"14","2003 to 2012",NA,NA,NA
"15","2002 to 2011",NA,NA,NA
"16","2001 to 2010",NA,NA,NA
"17","2000 to 2009",NA,NA,NA
"18","1999 to 2008",NA,NA,NA
"19","1998 to 2007",NA,NA,NA
"20","1997 to 2006",NA,NA,NA
"21","1996 to 2005",NA,NA,NA
"22","1995 to 2004",NA,NA,NA
"23","1994 to 2003",NA,NA,NA
"24","1993 to 2002",NA,NA,NA
"25","1992 to 2001",NA,NA,NA
"26","1991 to 2000",NA,NA,NA
"27","1990 to 1999",NA,NA,NA
"28","1989 to 1998",NA,NA,NA
"29","1988 to 1997",NA,NA,NA
"30","1987 to 1996",NA,NA,NA
"31","1986 to 1995",NA,NA,NA
"32","1985 to 1994",NA,NA,NA
"33","1984 to 1993",NA,NA,NA
"34","1983 to 1992",NA,NA,NA
"35","1982 to 1991",NA,NA,NA
"36","1981 to 1990",NA,NA,NA
"37","1980 to 1989",NA,NA,NA
"38","1979 to 1988",NA,NA,NA
"39","1978 to 1987",NA,NA,NA
"40","1977 to 1986",NA,NA,NA
"41","1976 to 1985",NA,NA,NA
"42","1975 to 1984",NA,NA,NA
"43","1974 to 1983",NA,NA,NA
"44","1973 to 1982",NA,NA,NA
"45","1972 to 1981",NA,NA,NA
"46","1971 to 1980",NA,NA,NA
"47","1970 to 1979",NA,NA,NA
"48","1969 to 1978",NA,NA,NA
"49","1968 to 1977",NA,NA,NA
"50","1967 to 1976",NA,NA,NA
"51","1966 to 1975",NA,NA,NA
"52","1965 to 1974",NA,NA,NA
"53","1964 to 1973",NA,NA,NA
"54","1963 to 1972",NA,NA,NA
