"","WaterYear","AnnualRelease","TenYearRelease","TenYearTarget","TenYearTarget82","NineYearRelease","Diff75","Diff82"
"1",1965,10.7975604721311,NA,74.8,82.3,NA,NA,NA
"2",1966,7.83796575737705,NA,74.8,82.3,NA,NA,NA
"3",1967,7.78115857704918,NA,74.8,82.3,NA,NA,NA
"4",1968,8.31651181967213,NA,74.8,82.3,NA,NA,NA
"5",1969,8.80499419016394,NA,74.8,82.3,NA,NA,NA
"6",1970,8.65420774426229,NA,74.8,82.3,NA,NA,NA
"7",1971,8.57285669508197,NA,74.8,82.3,NA,NA,NA
"8",1972,9.29139824918033,NA,74.8,82.3,NA,NA,NA
"9",1973,10.0870352622951,NA,74.8,82.3,80.1436887672131,NA,NA
"10",1974,8.24887762622951,88.3925663934426,74.8,82.3,77.5950059213115,13.5925663934426,6.09256639344262
"11",1975,9.23587764262295,86.8308835639344,74.8,82.3,78.9929178065574,12.0308835639344,4.53088356393442
"12",1976,8.4643886295082,87.4573064360656,74.8,82.3,79.6761478590164,12.6573064360656,5.15730643606557
"13",1977,8.24321670163934,87.9193645606557,74.8,82.3,79.6028527409836,13.1193645606557,5.61936456065574
"14",1978,8.33628546885246,87.9391382098361,74.8,82.3,79.1341440196721,13.1391382098361,5.63913820983606
"15",1979,8.27924076721311,87.4133847868852,74.8,82.3,78.759177042623,12.6133847868852,5.11338478688525
"16",1980,10.8847901737705,89.6439672163934,74.8,82.3,81.0711105213115,14.8439672163934,7.34396721639344
"17",1981,8.27789481311475,89.3490053344262,74.8,82.3,80.0576070852459,14.5490053344262,7.04900533442623
"18",1982,8.28711657803279,88.3447236632787,74.8,82.3,78.2576884009836,13.5447236632787,6.04472366327869
"19",1983,17.4570444491803,95.7147328501639,74.8,82.3,87.4658552239344,20.9147328501639,13.4147328501639
"20",1984,20.4567604721311,107.922615696066,74.8,82.3,98.6867380534426,33.1226156960656,25.6226156960656
"21",1985,19.0543752688525,117.741113322295,74.8,82.3,109.276724692787,42.9411133222951,35.4411133222951
"22",1986,16.8127876852459,126.089512378033,74.8,82.3,117.846295676393,51.2895123780328,43.7895123780328
