,2017,,Pre 2017,,Difference,
 ELEVATION (feet) , Active Storage (million acre-feet) , Area (acres) , Active Storage (million acre-feet) , Area (acres) ,Volume (million acre-feet),Area (acres)
3370, -   ," 18,826 ", -   ," 20,303 ", -  ," 1,477 "
3371, 0.0 ," 18,971 ", 0.0 ," 20,483 ", 0.0 ," 1,511 "
3372, 0.0 ," 19,108 ", 0.0 ," 20,663 ", 0.0 ," 1,554 "
3373, 0.1 ," 19,239 ", 0.1 ," 20,843 ", 0.0 ," 1,604 "
3374, 0.1 ," 19,363 ", 0.1 ," 21,023 ", 0.0 ," 1,660 "
3375, 0.1 ," 19,497 ", 0.1 ," 21,203 ", 0.0 ," 1,705 "
3376, 0.1 ," 19,677 ", 0.1 ," 21,382 ", 0.0 ," 1,705 "
3377, 0.1 ," 19,880 ", 0.1 ," 21,562 ", 0.0 ," 1,682 "
3378, 0.2 ," 20,043 ", 0.2 ," 21,742 ", 0.0 ," 1,699 "
3379, 0.2 ," 20,200 ", 0.2 ," 21,922 ", 0.0 ," 1,722 "
3380, 0.2 ," 20,354 ", 0.2 ," 22,102 ", 0.0 ," 1,748 "
3381, 0.2 ," 20,516 ", 0.2 ," 22,300 ", 0.0 ," 1,784 "
3382, 0.2 ," 20,686 ", 0.3 ," 22,498 ", 0.0 ," 1,812 "
3383, 0.3 ," 20,843 ", 0.3 ," 22,696 ", 0.0 ," 1,853 "
3384, 0.3 ," 20,988 ", 0.3 ," 22,894 ", 0.0 ," 1,906 "
3385, 0.3 ," 21,122 ", 0.3 ," 23,092 ", 0.0 ," 1,970 "
3386, 0.3 ," 21,297 ", 0.3 ," 23,290 ", 0.0 ," 1,993 "
3387, 0.3 ," 21,498 ", 0.4 ," 23,488 ", 0.0 ," 1,990 "
3388, 0.4 ," 21,734 ", 0.4 ," 23,686 ", 0.0 ," 1,952 "
3389, 0.4 ," 22,011 ", 0.4 ," 23,884 ", 0.0 ," 1,873 "
3390, 0.4 ," 22,249 ", 0.4 ," 24,082 ", 0.0 ," 1,833 "
3391, 0.4 ," 22,503 ", 0.5 ," 24,280 ", 0.0 ," 1,777 "
3392, 0.5 ," 22,757 ", 0.5 ," 24,478 ", 0.0 ," 1,721 "
3393, 0.5 ," 23,062 ", 0.5 ," 24,676 ", 0.0 ," 1,614 "
3394, 0.5 ," 23,409 ", 0.5 ," 24,874 ", 0.0 ," 1,465 "
3395, 0.5 ," 23,742 ", 0.6 ," 25,072 ", 0.0 ," 1,330 "
3396, 0.5 ," 24,054 ", 0.6 ," 25,270 ", 0.0 ," 1,216 "
3397, 0.6 ," 24,305 ", 0.6 ," 25,468 ", 0.0 ," 1,163 "
3398, 0.6 ," 24,510 ", 0.6 ," 25,666 ", 0.0 ," 1,156 "
3399, 0.6 ," 24,724 ", 0.7 ," 25,864 ", 0.0 ," 1,140 "
3400, 0.6 ," 24,933 ", 0.7 ," 26,062 ", 0.0 ," 1,129 "
3401, 0.7 ," 25,131 ", 0.7 ," 26,261 ", 0.1 ," 1,130 "
3402, 0.7 ," 25,328 ", 0.7 ," 26,460 ", 0.1 ," 1,132 "
3403, 0.7 ," 25,536 ", 0.8 ," 26,659 ", 0.1 ," 1,124 "
3404, 0.7 ," 25,730 ", 0.8 ," 26,859 ", 0.1 ," 1,128 "
3405, 0.8 ," 25,909 ", 0.8 ," 27,058 ", 0.1 ," 1,149 "
3406, 0.8 ," 26,086 ", 0.9 ," 27,257 ", 0.1 ," 1,171 "
3407, 0.8 ," 26,263 ", 0.9 ," 27,456 ", 0.1 ," 1,193 "
3408, 0.8 ," 26,440 ", 0.9 ," 27,655 ", 0.1 ," 1,215 "
3409, 0.9 ," 26,613 ", 0.9 ," 27,854 ", 0.1 ," 1,242 "
3410, 0.9 ," 26,784 ", 1.0 ," 28,054 ", 0.1 ," 1,270 "
3411, 0.9 ," 26,952 ", 1.0 ," 28,253 ", 0.1 ," 1,301 "
3412, 1.0 ," 27,116 ", 1.0 ," 28,452 ", 0.1 ," 1,335 "
3413, 1.0 ," 27,282 ", 1.0 ," 28,651 ", 0.1 ," 1,369 "
3414, 1.0 ," 27,443 ", 1.1 ," 28,850 ", 0.1 ," 1,407 "
3415, 1.0 ," 27,601 ", 1.1 ," 29,049 ", 0.1 ," 1,448 "
3416, 1.1 ," 27,759 ", 1.1 ," 29,248 ", 0.1 ," 1,490 "
3417, 1.1 ," 27,914 ", 1.2 ," 29,448 ", 0.1 ," 1,533 "
3418, 1.1 ," 28,072 ", 1.2 ," 29,647 ", 0.1 ," 1,575 "
3419, 1.2 ," 28,228 ", 1.2 ," 29,846 ", 0.1 ," 1,618 "
3420, 1.2 ," 28,386 ", 1.3 ," 30,045 ", 0.1 ," 1,659 "
3421, 1.2 ," 28,544 ", 1.3 ," 30,278 ", 0.1 ," 1,734 "
3422, 1.2 ," 28,702 ", 1.3 ," 30,510 ", 0.1 ," 1,809 "
3423, 1.3 ," 28,861 ", 1.3 ," 30,743 ", 0.1 ," 1,882 "
3424, 1.3 ," 29,019 ", 1.4 ," 30,976 ", 0.1 ," 1,957 "
3425, 1.3 ," 29,215 ", 1.4 ," 31,208 ", 0.1 ," 1,994 "
3426, 1.4 ," 29,485 ", 1.4 ," 31,441 ", 0.1 ," 1,957 "
3427, 1.4 ," 29,749 ", 1.5 ," 31,674 ", 0.1 ," 1,925 "
3428, 1.4 ," 30,017 ", 1.5 ," 31,907 ", 0.1 ," 1,890 "
3429, 1.4 ," 30,265 ", 1.5 ," 32,139 ", 0.1 ," 1,874 "
3430, 1.5 ," 30,513 ", 1.6 ," 32,372 ", 0.1 ," 1,859 "
3431, 1.5 ," 30,736 ", 1.6 ," 32,605 ", 0.1 ," 1,869 "
3432, 1.5 ," 30,968 ", 1.6 ," 32,837 ", 0.1 ," 1,870 "
3433, 1.6 ," 31,198 ", 1.7 ," 33,070 ", 0.1 ," 1,872 "
3434, 1.6 ," 31,450 ", 1.7 ," 33,303 ", 0.1 ," 1,853 "
3435, 1.6 ," 31,710 ", 1.7 ," 33,535 ", 0.1 ," 1,826 "
3436, 1.7 ," 31,953 ", 1.8 ," 33,768 ", 0.1 ," 1,815 "
3437, 1.7 ," 32,173 ", 1.8 ," 34,001 ", 0.1 ," 1,828 "
3438, 1.7 ," 32,386 ", 1.8 ," 34,234 ", 0.1 ," 1,847 "
3439, 1.8 ," 32,601 ", 1.9 ," 34,466 ", 0.1 ," 1,866 "
3440, 1.8 ," 32,818 ", 1.9 ," 34,699 ", 0.1 ," 1,881 "
3441, 1.8 ," 33,058 ", 1.9 ," 34,982 ", 0.1 ," 1,925 "
3442, 1.9 ," 33,292 ", 2.0 ," 35,265 ", 0.1 ," 1,973 "
3443, 1.9 ," 33,514 ", 2.0 ," 35,548 ", 0.1 ," 2,034 "
