"","DATETIME","PowerRelease","TotalRelease","BypassRelease","SpillwayRelease"
"1","05/01/2024 00:00",7065.51,7065.51,0,0
"2","05/01/2024 01:00",6977.85,6977.85,0,0
"3","05/01/2024 02:00",6974.04,6974.04,0,0
"4","05/01/2024 03:00",6999.83,6999.83,0,0
"5","05/01/2024 04:00",8023.3,8023.3,0,0
"6","05/01/2024 05:00",8384.49,8384.49,0,0
"7","05/01/2024 06:00",9475.85,9475.85,0,0
"8","05/01/2024 07:00",9483.96,9483.96,0,0
"9","05/01/2024 08:00",11555.35,11555.35,0,0
"10","05/01/2024 09:00",10827.78,10827.78,0,0
"11","05/01/2024 10:00",10212.63,10212.63,0,0
"12","05/01/2024 11:00",10341.92,10341.92,0,0
"13","05/01/2024 12:00",10806.86,10806.86,0,0
"14","05/01/2024 13:00",11288.27,11288.27,0,0
"15","05/01/2024 14:00",11317.03,11317.03,0,0
"16","05/01/2024 15:00",12208.84,12208.84,0,0
"17","05/01/2024 16:00",12275.04,12275.04,0,0
"18","05/01/2024 17:00",12269.03,12269.03,0,0
"19","05/01/2024 18:00",12271.78,12271.78,0,0
"20","05/01/2024 19:00",12248.34,12248.34,0,0
"21","05/01/2024 20:00",12236.23,12236.23,0,0
"22","05/01/2024 21:00",11851.74,11851.74,0,0
"23","05/01/2024 22:00",10213.36,10213.36,0,0
"24","05/01/2024 23:00",8094.59,8094.59,0,0
"25","05/02/2024 00:00",7302.96,7302.96,0,0
"26","05/02/2024 01:00",7256.61,7256.61,0,0
"27","05/02/2024 02:00",7256.61,7256.61,0,0
"28","05/02/2024 03:00",7298.76,7298.76,0,0
"29","05/02/2024 04:00",8865.74,8865.74,0,0
"30","05/02/2024 05:00",8865.74,8865.74,0,0
"31","05/02/2024 06:00",10321.5,10321.5,0,0
"32","05/02/2024 07:00",10220.19,10220.19,0,0
"33","05/02/2024 08:00",10456.45,10456.45,0,0
"34","05/02/2024 09:00",9796.91,9796.91,0,0
"35","05/02/2024 10:00",9396.37,9396.37,0,0
"36","05/02/2024 11:00",9493.03,9493.03,0,0
"37","05/02/2024 12:00",9569.22,9569.22,0,0
"38","05/02/2024 13:00",10676.64,10676.64,0,0
"39","05/02/2024 14:00",10715.35,10715.35,0,0
"40","05/02/2024 15:00",11955.03,11955.03,0,0
"41","05/02/2024 16:00",11955.03,11955.03,0,0
"42","05/02/2024 17:00",12271.16,12271.16,0,0
"43","05/02/2024 18:00",12271.9,12271.9,0,0
"44","05/02/2024 19:00",12271.9,12271.9,0,0
"45","05/02/2024 20:00",12272.42,12272.42,0,0
"46","05/02/2024 21:00",12272.42,12272.42,0,0
"47","05/02/2024 22:00",10493.07,10493.07,0,0
"48","05/02/2024 23:00",8411.71,8411.71,0,0
"49","05/03/2024 00:00",8411.71,8411.71,0,0
"50","05/03/2024 01:00",6976.52,6976.52,0,0
"51","05/03/2024 02:00",6957.72,6957.72,0,0
"52","05/03/2024 03:00",6957.72,6957.72,0,0
"53","05/03/2024 04:00",8783.64,8783.64,0,0
"54","05/03/2024 05:00",9231.17,9231.17,0,0
"55","05/03/2024 06:00",9231.17,9231.17,0,0
"56","05/03/2024 07:00",9580.91,9580.91,0,0
"57","05/03/2024 08:00",11184.07,11184.07,0,0
"58","05/03/2024 09:00",11184.07,11184.07,0,0
"59","05/03/2024 10:00",10190.89,10190.89,0,0
"60","05/03/2024 11:00",10190.89,10190.89,0,0
"61","05/03/2024 12:00",10286.42,10286.42,0,0
