ResNameCode,area [89],ave SJC inflow volume [1501],ave water temperature [121],bank storage [15],bypass release [1197],bypass release volume [1198],delta storage [47],evaporation [25],inflow [29],inflow volume [30],mod unregulated inflow [123],mod unregulated inflow volume [124],pool elevation [49],power release [39],power release volume [40],release volume [43],side inflow [31],side inflow volume [32],spillway release [46],storage [17],total release [42],unregulated inflow [33],unregulated inflow volume [34]
ABIQUIU [2729],89.0,1501.0,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
AVALON [2684],89.0,,,,,,47.0,25.0,29.0,,,,49.0,,,43.0,,,,17.0,42.0,,
BIG SANDY [936],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
BLUE MESA [913],89.0,,,,1197.0,1198.0,47.0,25.0,29.0,30.0,,,49.0,39.0,40.0,43.0,,,46.0,17.0,42.0,33.0,34.0
BRANTLEY [937],89.0,,,15.0,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
CABALLO [1094],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
CARTERCO [100065],,,,,,,,,,,,,98.0,,,,,,,34.0,,,
CAUSEY [938],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,46.0,17.0,42.0,,
COCHITI [2696],89.0,,,,,,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
CRAWFORD [951],89.0,,,,,,47.0,,29.0,30.0,,,49.0,,,43.0,,,,17.0,42.0,,
CRYSTAL [915],89.0,,,,1197.0,1198.0,47.0,25.0,29.0,30.0,,,49.0,39.0,40.0,43.0,31.0,32.0,46.0,17.0,42.0,33.0,34.0
CUCRESCO [100001],,,,,,,,,,,,,,,,,,,,34.0,,,
CURRANT CREEK [952],89.0,,,,1197.0,1198.0,47.0,25.0,29.0,30.0,,,49.0,,,43.0,,,46.0,17.0,42.0,,
