"","WaterYear","Month","ResID","ResName","ResNameAbbrev","FieldID","FieldName","FieldUnits","MonthlyValue"
"1",1934,4,921,"Lake Mead","Mead",42,"Total Release","cfs",221750
"2",1934,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.4398347108
"3",1934,5,921,"Lake Mead","Mead",42,"Total Release","cfs",560000
"4",1934,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.110743802
"5",1934,6,921,"Lake Mead","Mead",42,"Total Release","cfs",318280
"6",1934,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.63129917383
"7",1934,7,921,"Lake Mead","Mead",42,"Total Release","cfs",86260
"8",1934,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.17109421489
"9",1934,8,921,"Lake Mead","Mead",42,"Total Release","cfs",81560
"10",1934,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.16177190081
"11",1934,9,921,"Lake Mead","Mead",42,"Total Release","cfs",99350
"12",1934,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.19705785129
"13",1935,1,921,"Lake Mead","Mead",42,"Total Release","cfs",151431
"14",1935,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.30035900837
"15",1935,2,921,"Lake Mead","Mead",42,"Total Release","cfs",101695
"16",1935,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.20170909095
"17",1935,3,921,"Lake Mead","Mead",42,"Total Release","cfs",216470
"18",1935,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.4293619838
"19",1935,4,921,"Lake Mead","Mead",42,"Total Release","cfs",217660
"20",1935,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.4317223141
"21",1935,5,921,"Lake Mead","Mead",42,"Total Release","cfs",285030
"22",1935,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5653487602
"23",1935,6,921,"Lake Mead","Mead",42,"Total Release","cfs",489860
"24",1935,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.9716231406
"25",1935,7,921,"Lake Mead","Mead",42,"Total Release","cfs",358590
"26",1935,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7112528921
"27",1935,8,921,"Lake Mead","Mead",42,"Total Release","cfs",317750
"28",1935,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6302479335
"29",1935,9,921,"Lake Mead","Mead",42,"Total Release","cfs",303730
"30",1935,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6024396702
"31",1935,10,921,"Lake Mead","Mead",42,"Total Release","cfs",96370
"32",1935,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.19114710746
"33",1935,11,921,"Lake Mead","Mead",42,"Total Release","cfs",105560
"34",1935,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.20937520661
"35",1935,12,921,"Lake Mead","Mead",42,"Total Release","cfs",137750
"36",1935,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.27322314052
"37",1936,1,921,"Lake Mead","Mead",42,"Total Release","cfs",149025
"38",1936,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.29558677692
"39",1936,2,921,"Lake Mead","Mead",42,"Total Release","cfs",159705
"40",1936,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.3167702477
"41",1936,3,921,"Lake Mead","Mead",42,"Total Release","cfs",286130
"42",1936,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5675305781
"43",1936,4,921,"Lake Mead","Mead",42,"Total Release","cfs",299455
"44",1936,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.593960331
"45",1936,5,921,"Lake Mead","Mead",42,"Total Release","cfs",280800
"46",1936,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.556958678
"47",1936,6,921,"Lake Mead","Mead",42,"Total Release","cfs",311805
